,domesticated,diet,habitat,Kingdom,region,subtype,species
373,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,partridge
374,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,partridge
375,wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,pheasant
376,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,pheasant
377,domesticated animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,pigeon
378,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,quail
379,wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,snipe
380,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,snipe
381,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,turkey
382,domesticated animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,turkey
383,wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,albatross
384,wild animal,carnivore,semi-aquatic animal,bird,animal found in Antanimal found in the Arctica,grey brown white or black bird,albatross
385,wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,grey brown white or black bird,albatross
386,wild animal,carnivore,semi-aquatic animal,bird,animal found in Africa,grey brown white or black bird,albatross
387,wild animal,carnivore,semi-aquatic animal,bird,animal found in Oceania,grey brown white or black bird,albatross
388,wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,grey brown white or black bird,booby
389,wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,brightly colored bird,booby
390,wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,cormorant
391,wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,grebe
392,wild animal,carnivore,aquatic animal,bird,animal found worldwide,grey brown white or black bird,grebe
393,wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,brightly colored bird,grebe
394,wild animal,carnivore,aquatic animal,bird,animal found worldwide,brightly colored bird,grebe
395,wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,moorhen
396,wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,plover
397,wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,pelican
398,wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,grey brown white or black bird,puffin
399,wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,grey brown white or black bird,puffin
400,wild animal,carnivore,semi-aquatic animal,bird,animal found in Eurasia,brightly colored bird,puffin
401,wild animal,carnivore,semi-aquatic animal,bird,animal found in the Americas,brightly colored bird,puffin
402,wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,seagull
403,wild animal,omnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,swan
404,wild animal,carnivore,semi-aquatic animal,bird,animal found worldwide,grey brown white or black bird,tern
405,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,blackbird
406,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,bluebird
407,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,bluejay
408,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,cardinal
409,wild animal,omnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,canary
410,domesticated animal,omnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,canary
411,wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,crake
412,wild animal,omnivore,terrestrial animal,bird,animal found in Africa,grey brown white or black bird,crake
413,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,crake
414,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,magpie
415,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,grey brown white or black bird,mockingbird
416,wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,nightingale
417,wild animal,omnivore,terrestrial animal,bird,animal found in the Americasbrightly colored bird,,oriole
418,wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,robin
419,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,wren
420,wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,uguisu
421,wild animal,carnivore,terrestrial animal,bird,animal found in Eurasia,brightly colored bird,bee eater
422,wild animal,carnivore,terrestrial animal,bird,animal found in Africa,brightly colored bird,bee eater
423,wild animal,carnivore,terrestrial animal,bird,animal found worldwide,brightly colored bird,bee eater
424,domesticated animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,chicken
425,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,crow
426,wild animal,omnivore,terrestrial animal,bird,animal found in Eurasia,grey brown white or black bird,cuckoo
427,wild animal,omnivore,terrestrial animal,bird,animal found in Africa,grey brown white or black bird,cuckoo
428,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,cuckoo
429,wild animal,omnivore,terrestrial animal,bird,animal found in the Americas,brightly colored bird,hummingbird
430,wild animal,omnivore,terrestrial animal,bird,animal found worldwide,grey brown white or black bird,raven
431,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,anchovy
432,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,barracuda
433,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,barracuda
434,wild animal,carnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,barracuda
435,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,barracuda
436,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,bass
437,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,bass
438,wild animal,carnivore,aquatic animal,fish,animal found worldwide,freshwater fish,bass
439,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,catfish
440,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,catfish
441,wild animal,omnivore,aquatic animal,fish,animal found in Africa,freshwater fish,catfish
442,wild animal,omnivore,aquatic animal,fish,animal found worldwide,freshwater fish,catfish
443,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,cod
444,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,cod
445,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,cod
446,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,eel
447,wild animal,carnivore,aquatic animal,fish,animal found worldwide,freshwater fish,eel
448,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,flounder
449,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,flounder
450,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,flounder
451,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,grouper
452,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,grouper
453,wild animal,carnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,grouper
454,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,grouper
455,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,herring
456,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,herring
457,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,pike
458,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,pike
459,wild animal,carnivore,aquatic animal,fish,animal found worldwide,freshwater fish,pike
460,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,salmon
461,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,salmon
462,wild animal,omnivore,aquatic animal,fish,animal found worldwide,saltwater fish,salmon
463,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,salmon
464,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,salmon
465,wild animal,omnivore,aquatic animal,fish,animal found worldwide,freshwater fish,salmon
466,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,sardine
467,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,sardine
468,wild animal,omnivore,aquatic animal,fish,animal found in Africa,saltwater fish,sardine
469,wild animal,omnivore,aquatic animal,fish,animal found worldwide,saltwater fish,sardine
470,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,shark
471,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,swordfish
472,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,swordfish
473,wild animal,carnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,swordfish
474,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,swordfish
475,wild animal,omnivore,aquatic animal,fish,animal found in Africa,freshwater fish,tilapia
476,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,tilapia
477,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,tilapia
478,wild animal,omnivore,aquatic animal,fish,animal found worldwide,freshwater fish,tilapia
479,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,trout
480,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,trout
481,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,tuna
482,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,angelfish
483,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,barb
484,wild animal,omnivore,aquatic animal,fish,animal found in Africa,freshwater fish,barb
485,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,betta
486,wild animal,omnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,clownfish
487,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,goldfish
488,domesticated animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,goldfish
489,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,guppy
490,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,koi
491,domesticated animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,koi
492,wild animal,omnivore,aquatic animal,fish,animal found in Eurasia,freshwater fish,minnow
493,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,minnow
494,wild animal,omnivore,aquatic animal,fish,animal found worldwide,freshwater fish,minnow
495,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,molly
496,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,piranha
497,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,pufferfish
498,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,pufferfish
499,wild animal,carnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,pufferfish
500,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,pufferfish
501,wild animal,omnivore,aquatic animal,fish,animal found worldwide,saltwater fish,shark
502,wild animal,omnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,tang(Dory)
503,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,stingray
504,wild animal,omnivore,aquatic animal,fish,animal found in the Americas,freshwater fish,tetra
505,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,wrasse
506,wild animal,carnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,wrasse
507,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,wrasse
508,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,wrasse
509,wild animal,carnivore,aquatic animal,fish,animal found worldwide,saltwater fish,moray eel
510,wild animal,carnivore,aquatic animal,fish,animal found in Eurasia,saltwater fish,stingray
511,wild animal,carnivore,aquatic animal,fish,animal found in the Americas,saltwater fish,stingray
512,wild animal,carnivore,aquatic animal,fish,animal found in Oceania,saltwater fish,stingray
513,wild animal,carnivore,aquatic animal,fish,animal found in Africa,saltwater fish,stingray
